date,temperature,humidity,luminosity
2020-12-02 16:10:45.054,22.3,16.7,94
2020-12-02 16:10:42.777,22.3,16.7,95
2020-12-02 16:10:40.499,22.3,16.7,95
2020-12-02 16:10:38.225,22.3,16.7,95
2020-12-02 16:10:35.948,22.3,16.7,95
2020-12-02 16:10:33.670,22.3,16.7,95
2020-12-02 16:10:31.396,22.3,16.7,95
2020-12-02 16:10:29.119,22.3,16.7,95
2020-12-02 16:10:26.841,22.3,16.7,95
2020-12-02 16:10:24.568,22.3,16.7,95
2020-12-02 16:10:22.290,22.3,16.7,95
2020-12-02 16:10:20.012,22.3,16.7,94
2020-12-02 16:10:17.739,22.3,16.7,95
2020-12-02 16:10:15.462,22.3,16.7,95
2020-12-02 16:10:13.184,22.3,16.7,95
2020-12-02 16:10:10.906,22.3,16.7,96
2020-12-02 16:10:08.633,22.3,16.7,95
2020-12-02 16:10:06.355,22.3,16.7,94
2020-12-02 16:10:04.077,22.3,16.7,95
2020-12-02 16:10:01.804,22.3,16.8,95
2020-12-02 16:09:59.526,22.3,16.8,95
2020-12-02 16:09:57.249,22.3,16.8,95
2020-12-02 16:09:54.975,22.3,16.9,95
2020-12-02 16:09:52.697,22.3,16.9,95
2020-12-02 16:09:50.420,22.3,16.9,96
2020-12-02 16:09:48.146,22.3,16.9,95
2020-12-02 16:09:45.868,22.3,16.9,95
2020-12-02 16:09:43.595,22.3,16.9,95
2020-12-02 16:09:41.317,22.3,16.8,95
2020-12-02 16:09:39.040,22.3,16.8,95
2020-12-02 16:09:36.766,22.3,16.8,95
2020-12-02 16:09:34.488,22.3,16.8,95
2020-12-02 16:09:32.211,22.3,16.8,95
2020-12-02 16:09:29.937,22.3,16.8,95
2020-12-02 16:09:27.659,22.3,16.9,95
2020-12-02 16:09:25.382,22.3,16.9,95
2020-12-02 16:09:23.108,22.3,16.9,95
2020-12-02 16:09:20.830,22.3,16.9,95
2020-12-02 16:09:18.553,22.3,17.0,95
2020-12-02 16:09:16.279,22.3,16.9,96
2020-12-02 16:09:14.002,22.2,16.9,95
2020-12-02 16:09:11.724,22.2,16.9,96
2020-12-02 16:09:09.450,22.2,17.0,95
2020-12-02 16:09:07.173,22.2,17.0,95
2020-12-02 16:09:04.895,22.2,17.1,95
2020-12-02 16:09:02.621,22.2,17.1,95
2020-12-02 16:09:00.344,22.2,17.0,96
2020-12-02 16:08:58.066,22.2,16.9,94
2020-12-02 16:08:55.793,22.2,16.9,94
2020-12-02 16:08:53.515,22.2,16.8,94
2020-12-02 16:08:51.237,22.2,16.8,94
2020-12-02 16:08:48.964,22.2,16.7,95
2020-12-02 16:08:46.686,22.2,16.7,95
2020-12-02 16:08:44.408,22.2,16.8,95
2020-12-02 16:08:42.135,22.2,16.8,96
2020-12-02 16:08:39.857,22.2,16.7,95
2020-12-02 16:08:37.579,22.2,16.7,95
2020-12-02 16:08:35.306,22.2,16.6,95
2020-12-02 16:08:33.028,22.2,16.6,95
2020-12-02 16:08:30.755,22.2,16.6,95
2020-12-02 16:08:28.477,22.2,16.6,96
2020-12-02 16:08:26.199,22.2,16.6,95
2020-12-02 16:08:23.926,22.2,16.6,95
2020-12-02 16:08:21.648,22.2,16.5,95
2020-12-02 16:08:19.370,22.2,16.5,95
2020-12-02 16:08:17.097,22.2,16.5,95
2020-12-02 16:08:14.818,22.2,16.5,95
2020-12-02 16:08:12.541,22.2,16.5,95
2020-12-02 16:08:10.267,22.2,16.5,95
2020-12-02 16:08:07.989,22.2,16.5,95
2020-12-02 16:08:05.712,22.2,16.5,95
2020-12-02 16:08:03.438,22.2,16.5,95
2020-12-02 16:08:01.161,22.2,16.5,95
2020-12-02 16:07:58.883,22.2,16.5,95
2020-12-02 16:07:56.609,22.2,16.5,95
2020-12-02 16:07:54.332,22.2,16.5,95
2020-12-02 16:07:52.054,22.2,16.5,95
2020-12-02 16:07:49.780,22.2,16.5,95
2020-12-02 16:07:47.503,22.2,16.5,94
2020-12-02 16:07:45.225,22.2,16.5,95
2020-12-02 16:07:42.951,22.2,16.6,95
2020-12-02 16:07:40.674,22.3,16.7,95
2020-12-02 16:07:38.400,22.3,16.6,95
2020-12-02 16:07:36.123,22.2,16.6,95
2020-12-02 16:07:33.845,22.3,16.7,95
2020-12-02 16:07:31.571,22.2,16.6,95
2020-12-02 16:07:29.294,22.3,16.7,95
2020-12-02 16:07:27.016,22.2,16.6,96
2020-12-02 16:07:24.743,22.3,16.7,95
2020-12-02 16:07:22.466,22.3,16.8,95
2020-12-02 16:07:20.187,22.3,16.8,95
2020-12-02 16:07:17.914,22.3,16.8,95
2020-12-02 16:07:15.636,22.3,16.8,95
2020-12-02 16:07:13.358,22.3,16.8,95
2020-12-02 16:07:11.085,22.3,16.8,95
2020-12-02 16:07:08.807,22.3,16.7,95
2020-12-02 16:07:06.530,22.3,16.7,95
2020-12-02 16:07:04.256,22.3,16.7,95
2020-12-02 16:07:01.978,22.3,16.7,95
2020-12-02 16:06:59.701,22.3,16.7,95
2020-12-02 16:06:57.427,22.3,16.7,95
2020-12-02 16:06:55.149,22.3,16.7,95
2020-12-02 16:06:52.872,22.3,16.7,95
2020-12-02 16:06:50.594,22.3,16.7,95
2020-12-02 16:06:48.321,22.3,16.7,95
2020-12-02 16:06:46.043,22.2,16.6,95
2020-12-02 16:06:43.765,22.3,16.7,95
2020-12-02 16:06:41.492,22.3,16.7,95
2020-12-02 16:06:39.214,22.3,16.7,95
2020-12-02 16:06:36.936,22.3,16.6,95
2020-12-02 16:06:34.663,22.3,16.6,94
2020-12-02 16:06:32.385,22.2,16.6,95
2020-12-02 16:06:30.107,22.2,16.6,95
2020-12-02 16:06:27.834,22.2,16.6,95
2020-12-02 16:06:25.556,22.2,16.6,96
2020-12-02 16:06:23.283,22.2,16.6,95
2020-12-02 16:06:21.005,22.2,16.6,95
2020-12-02 16:06:18.727,22.3,16.7,95
2020-12-02 16:06:16.454,22.2,16.6,95
2020-12-02 16:06:14.176,22.2,16.6,95
2020-12-02 16:06:11.899,22.3,16.7,95
2020-12-02 16:06:09.625,22.3,16.7,95
2020-12-02 16:06:07.347,22.2,16.7,95
2020-12-02 16:06:05.070,22.3,16.7,95
2020-12-02 16:06:02.796,22.3,16.8,95
2020-12-02 16:06:00.519,22.3,16.8,95
2020-12-02 16:05:58.241,22.3,16.8,95
2020-12-02 16:05:55.967,22.3,16.9,95
2020-12-02 16:05:53.690,22.3,16.9,96
2020-12-02 16:05:51.412,22.3,17.0,95
2020-12-02 16:05:49.138,22.3,17.0,95
2020-12-02 16:05:46.861,22.3,17.1,95
2020-12-02 16:05:44.583,22.3,17.2,95
2020-12-02 16:05:42.310,22.3,17.2,95
2020-12-02 16:05:40.032,22.2,17.2,95
2020-12-02 16:05:37.754,22.3,17.2,95
2020-12-02 16:05:35.481,22.2,17.2,95
2020-12-02 16:05:33.203,22.3,17.3,95
2020-12-02 16:05:30.925,22.2,17.3,95
2020-12-02 16:05:28.652,22.2,17.3,95
2020-12-02 16:05:26.374,22.2,17.2,94
2020-12-02 16:05:24.096,22.2,17.2,94
2020-12-02 16:05:21.823,22.2,17.2,96
2020-12-02 16:05:19.545,22.3,17.3,95
2020-12-02 16:05:17.268,22.2,17.3,95
2020-12-02 16:05:14.994,22.2,17.4,96
2020-12-02 16:05:12.716,22.2,17.4,95
2020-12-02 16:05:10.439,22.2,17.3,95
2020-12-02 16:05:08.165,22.2,17.3,95
2020-12-02 16:05:05.887,22.2,17.2,95
2020-12-02 16:05:03.610,22.2,17.2,95
2020-12-02 16:05:01.336,22.2,17.0,95
2020-12-02 16:04:59.059,22.2,17.0,95
2020-12-02 16:04:56.781,22.2,17.0,96
2020-12-02 16:04:54.507,22.2,16.9,95
2020-12-02 16:04:52.230,22.2,16.9,96
2020-12-02 16:04:49.952,22.2,16.8,95
2020-12-02 16:04:47.678,22.2,16.8,96
2020-12-02 16:04:45.401,22.2,16.7,95
2020-12-02 16:04:43.123,22.2,16.7,95
2020-12-02 16:04:40.850,22.2,16.7,95
